date,vals
1993-01-01,
1993-02-01,
1993-03-01,
1993-04-01,
1993-05-01,
1993-06-01,
1993-07-01,
1993-08-01,
1993-09-01,
1993-10-01,
1993-11-01,
1993-12-01,
1994-01-01,
1994-02-01,
1994-03-01,
1994-04-01,
1994-05-01,
1994-06-01,
1994-07-01,
1994-08-01,
1994-09-01,
1994-10-01,
1994-11-01,
1994-12-01,
1995-01-01,
1995-02-01,
1995-03-01,
1995-04-01,
1995-05-01,
1995-06-01,
1995-07-01,
1995-08-01,
1995-09-01,
1995-10-01,
1995-11-01,
1995-12-01,
1996-01-01,
1996-02-01,
1996-03-01,
1996-04-01,
1996-05-01,
1996-06-01,
1996-07-01,
1996-08-01,
1996-09-01,
1996-10-01,
1996-11-01,
1996-12-01,
1997-01-01,
1997-02-01,
1997-03-01,
1997-04-01,
1997-05-01,
1997-06-01,
1997-07-01,
1997-08-01,
1997-09-01,
1997-10-01,
1997-11-01,
1997-12-01,
1998-01-01,8792329.0
1998-02-01,8691704.0
1998-03-01,10523262.0
1998-04-01,10997284.0
1998-05-01,12909665.0
1998-06-01,13887224.0
1998-07-01,15103224.0
1998-08-01,15616008.0
1998-09-01,14735151.0
1998-10-01,13464675.0
1998-11-01,10086718.0
1998-12-01,9694962.0
1999-01-01,9463757.0
1999-02-01,9381492.0
1999-03-01,11580311.0
1999-04-01,11509084.0
1999-05-01,13338132.0
1999-06-01,14793195.0
1999-07-01,16074707.0
1999-08-01,16411743.0
1999-09-01,15406878.0
1999-10-01,14502511.0
1999-11-01,10727239.0
1999-12-01,9818366.0
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,11407508.0
2003-02-01,11428441.0
2003-03-01,12733297.0
2003-04-01,13162147.0
2003-05-01,15545592.0
2003-06-01,16968086.0
2003-07-01,18620170.0
2003-08-01,19535276.0
2003-09-01,17775408.0
2003-10-01,16486270.0
2003-11-01,12845994.0
2003-12-01,12880570.0
2004-01-01,12163696.0
2004-02-01,12662457.0
2004-03-01,14201458.0
2004-04-01,15129841.0
2004-05-01,16612900.0
2004-06-01,18328982.0
2004-07-01,20210755.0
2004-08-01,20473086.0
2004-09-01,18950072.0
2004-10-01,17559286.0
2004-11-01,13512261.0
2004-12-01,13836973.0
2005-01-01,13321364.0
2005-02-01,13114221.0
2005-03-01,15810992.0
2005-04-01,15665333.0
2005-05-01,17964025.0
2005-06-01,19656351.0
2005-07-01,21416897.0
2005-08-01,21377275.0
2005-09-01,20129646.0
2005-10-01,18387004.0
2005-11-01,14130628.0
2005-12-01,14432778.0
2006-01-01,13826068.0
2006-02-01,13685494.0
2006-03-01,15834344.0
2006-04-01,17250318.0
2006-05-01,18736666.0
2006-06-01,20510032.0
2006-07-01,22241110.0
2006-08-01,21789657.0
2006-09-01,20467461.0
2006-10-01,18759160.0
2006-11-01,14560580.0
2006-12-01,14914374.0
2007-01-01,14202003.0
2007-02-01,13976800.0
2007-03-01,16685934.0
2007-04-01,17209186.0
2007-05-01,19035093.0
2007-06-01,20753554.0
2007-07-01,22673547.0
2007-08-01,23117351.0
2007-09-01,21232920.0
2007-10-01,19506835.0
2007-11-01,15004601.0
2007-12-01,15214486.0
2008-01-01,14158922.0
2008-02-01,14692571.0
2008-03-01,17306884.0
2008-04-01,16972140.0
2008-05-01,19305119.0
2008-06-01,20535433.0
2008-07-01,22441664.0
2008-08-01,22944285.0
2008-09-01,20329886.0
2008-10-01,18418440.0
2008-11-01,13716980.0
2008-12-01,14034926.0
2009-01-01,13021718.0
2009-02-01,12537123.0
2009-03-01,14821488.0
2009-04-01,16229514.0
2009-05-01,17378475.0
2009-06-01,18772711.0
2009-07-01,21188499.0
2009-08-01,21543076.0
2009-09-01,19215998.0
2009-10-01,17568452.0
2009-11-01,13338592.0
2009-12-01,13549086.0
2010-01-01,12326214.0
2010-02-01,12528555.0
2010-03-01,14667649.0
2010-04-01,12650915.0
2010-05-01,16707403.0
2010-06-01,18746850.0
2010-07-01,21194341.0
2010-08-01,21464879.0
2010-09-01,19515631.0
2010-10-01,18095393.0
2010-11-01,13328837.0
2010-12-01,12307293.0
2011-01-01,12731223.0
2011-02-01,12473004.0
2011-03-01,14471551.0
2011-04-01,16669262.0
2011-05-01,17964768.0
2011-06-01,19401697.0
2011-07-01,21659160.0
2011-08-01,21647519.0
2011-09-01,19989555.0
2011-10-01,18010412.0
2011-11-01,13237375.0
2011-12-01,13700570.0
2012-01-01,12829366.0
2012-02-01,12782945.0
2012-03-01,15088870.0
2012-04-01,16596309.0
2012-05-01,17823788.0
2012-06-01,19791273.0
2012-07-01,21215143.0
2012-08-01,21530943.0
2012-09-01,20094609.0
2012-10-01,18041398.0
2012-11-01,13799640.0
2012-12-01,13915140.0
2013-01-01,12767804.0
2013-02-01,12732803.0
2013-03-01,15568330.0
2013-04-01,16650813.0
2013-05-01,19073489.0
2013-06-01,20565776.0
2013-07-01,22195988.0
2013-08-01,22712076.0
2013-09-01,20798220.0
2013-10-01,18910581.0
2013-11-01,14218451.0
2013-12-01,14590461.0
2014-01-01,13489165.0
2014-02-01,13270157.0
2014-03-01,15537424.0
