date,vals
2004-01-01,264878.0
2004-04-01,260330.0
2004-07-01,265318.0
2004-10-01,279146.0
2005-01-01,267571.0
2005-04-01,277348.0
2005-07-01,268673.0
2005-10-01,290076.0
2006-01-01,274831.0
2006-04-01,283846.0
2006-07-01,289090.0
2006-10-01,309100.0
2007-01-01,299074.0
2007-04-01,301797.0
2007-07-01,311226.0
2007-10-01,326403.0
2008-01-01,318299.0
2008-04-01,327509.0
2008-07-01,326069.0
2008-10-01,332715.0
2009-01-01,319803.0
2009-04-01,312114.0
2009-07-01,312028.0
2009-10-01,327606.0
2010-01-01,339405.0
2010-04-01,331193.0
2010-07-01,342860.0
2010-10-01,352387.0
2011-01-01,362083.0
2011-04-01,354954.0
2011-07-01,366901.0
2011-10-01,379654.0
2012-01-01,394642.0
2012-04-01,368724.0
2012-07-01,385533.0
2012-10-01,395126.0
2013-01-01,389959.0
2013-04-01,395867.0
2013-07-01,401194.0
2013-10-01,412914.0
2014-01-01,416541.0
2014-04-01,404097.0
2014-07-01,418729.0
2014-10-01,440361.0
2015-01-01,431992.0
2015-04-01,424958.0
2015-07-01,433405.0
2015-10-01,451833.0
2016-01-01,447336.0
2016-04-01,437421.0
2016-07-01,435818.0
2016-10-01,451981.0
2017-01-01,445689.0
2017-04-01,426419.0
2017-07-01,437092.0
2017-10-01,448159.0
2018-01-01,437127.0
2018-04-01,439484.0
2018-07-01,445615.0
2018-10-01,461161.0
2019-01-01,453939.0
2019-04-01,449794.0
2019-07-01,460411.0
2019-10-01,472741.0
2020-01-01,401514.0
2020-04-01,36244.0
2020-07-01,137564.0
2020-10-01,
2021-01-01,
2021-04-01,
2021-07-01,
2021-10-01,
2022-01-01,
2022-04-01,
