areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
nation,England,E92000001,2023-01-11,1060,20489558,651,19059944,409.0,1429614.0
nation,England,E92000001,2023-01-10,2218,20488498,1402,19059293,816.0,1429205.0
nation,England,E92000001,2023-01-09,2811,20486280,1772,19057891,1039.0,1428389.0
nation,England,E92000001,2023-01-08,2347,20483469,1486,19056119,861.0,1427350.0
nation,England,E92000001,2023-01-07,2261,20481122,1524,19054633,737.0,1426489.0
nation,England,E92000001,2023-01-06,3207,20478861,2146,19053109,1061.0,1425752.0
nation,England,E92000001,2023-01-05,3960,20475654,2518,19050963,1442.0,1424691.0
nation,England,E92000001,2023-01-04,4934,20471694,3112,19048445,1822.0,1423249.0
nation,England,E92000001,2023-01-03,5719,20466760,3551,19045333,2168.0,1421427.0
nation,England,E92000001,2023-01-02,4602,20461041,2923,19041782,1679.0,1419259.0
nation,England,E92000001,2023-01-01,3326,20456439,2266,19038859,1060.0,1417580.0
nation,England,E92000001,2022-12-31,3884,20453113,2644,19036593,1240.0,1416520.0
nation,England,E92000001,2022-12-30,5504,20449229,3749,19033949,1755.0,1415280.0
nation,England,E92000001,2022-12-29,6934,20443725,4709,19030200,2225.0,1413525.0
nation,England,E92000001,2022-12-28,7598,20436791,5070,19025491,2528.0,1411300.0
nation,England,E92000001,2022-12-27,5971,20429193,3916,19020421,2055.0,1408772.0
nation,England,E92000001,2022-12-26,4485,20423222,3044,19016505,1441.0,1406717.0
nation,England,E92000001,2022-12-25,3381,20418737,2413,19013461,968.0,1405276.0
nation,England,E92000001,2022-12-24,3778,20415356,2736,19011048,1042.0,1404308.0
nation,England,E92000001,2022-12-23,5221,20411578,3646,19008312,1575.0,1403266.0
nation,England,E92000001,2022-12-22,6227,20406357,4227,19004666,2000.0,1401691.0
nation,England,E92000001,2022-12-21,7008,20400130,4703,19000439,2305.0,1399691.0
nation,England,E92000001,2022-12-20,7775,20393122,5255,18995736,2520.0,1397386.0
nation,England,E92000001,2022-12-19,8195,20385347,5437,18990481,2758.0,1394866.0
nation,England,E92000001,2022-12-18,5194,20377152,3469,18985044,1725.0,1392108.0
nation,England,E92000001,2022-12-17,4263,20371958,2831,18981575,1432.0,1390383.0
nation,England,E92000001,2022-12-16,5511,20367695,3766,18978744,1745.0,1388951.0
nation,England,E92000001,2022-12-15,5545,20362184,3619,18974978,1926.0,1387206.0
nation,England,E92000001,2022-12-14,5960,20356639,3900,18971359,2060.0,1385280.0
nation,England,E92000001,2022-12-13,6480,20350679,4217,18967459,2263.0,1383220.0
nation,England,E92000001,2022-12-12,6346,20344199,4152,18963242,2194.0,1380957.0
nation,England,E92000001,2022-12-11,4222,20337853,2701,18959090,1521.0,1378763.0
nation,England,E92000001,2022-12-10,3283,20333631,2178,18956389,1105.0,1377242.0
nation,England,E92000001,2022-12-09,3820,20330348,2559,18954211,1261.0,1376137.0
nation,England,E92000001,2022-12-08,4090,20326528,2672,18951652,1418.0,1374876.0
nation,England,E92000001,2022-12-07,4637,20322438,2944,18948980,1693.0,1373458.0
nation,England,E92000001,2022-12-06,4758,20317801,3053,18946036,1705.0,1371765.0
nation,England,E92000001,2022-12-05,4852,20313043,3018,18942983,1834.0,1370060.0
nation,England,E92000001,2022-12-04,3409,20308191,2182,18939965,1227.0,1368226.0
nation,England,E92000001,2022-12-03,2476,20304782,1617,18937783,859.0,1366999.0
nation,England,E92000001,2022-12-02,3269,20302306,2148,18936166,1121.0,1366140.0
nation,England,E92000001,2022-12-01,3213,20299037,2064,18934018,1149.0,1365019.0
nation,England,E92000001,2022-11-30,3606,20295824,2262,18931954,1344.0,1363870.0
nation,England,E92000001,2022-11-29,3969,20292218,2525,18929692,1444.0,1362526.0
nation,England,E92000001,2022-11-28,4235,20288249,2700,18927167,1535.0,1361082.0
nation,England,E92000001,2022-11-27,3148,20284014,1962,18924467,1186.0,1359547.0
nation,England,E92000001,2022-11-26,2301,20280866,1484,18922505,817.0,1358361.0
nation,England,E92000001,2022-11-25,2637,20278565,1771,18921021,866.0,1357544.0
nation,England,E92000001,2022-11-24,3003,20275928,1880,18919250,1123.0,1356678.0
nation,England,E92000001,2022-11-23,3239,20272925,2093,18917370,1146.0,1355555.0
nation,England,E92000001,2022-11-22,3448,20269686,2120,18915277,1328.0,1354409.0
nation,England,E92000001,2022-11-21,3549,20266238,2181,18913157,1368.0,1353081.0
nation,England,E92000001,2022-11-20,2607,20262689,1640,18910976,967.0,1351713.0
nation,England,E92000001,2022-11-19,2205,20260082,1463,18909336,742.0,1350746.0
nation,England,E92000001,2022-11-18,2499,20257877,1667,18907873,832.0,1350004.0
nation,England,E92000001,2022-11-17,2696,20255378,1707,18906206,989.0,1349172.0
nation,England,E92000001,2022-11-16,2932,20252682,1910,18904499,1022.0,1348183.0
nation,England,E92000001,2022-11-15,3154,20249750,2013,18902589,1141.0,1347161.0
nation,England,E92000001,2022-11-14,3491,20246596,2205,18900576,1286.0,1346020.0
nation,England,E92000001,2022-11-13,2646,20243105,1688,18898371,958.0,1344734.0
nation,England,E92000001,2022-11-12,2170,20240459,1473,18896683,697.0,1343776.0
nation,England,E92000001,2022-11-11,2552,20238289,1723,18895210,829.0,1343079.0
nation,England,E92000001,2022-11-10,2797,20235737,1879,18893487,918.0,1342250.0
nation,England,E92000001,2022-11-09,3180,20232940,2102,18891608,1078.0,1341332.0
nation,England,E92000001,2022-11-08,3371,20229760,2178,18889506,1193.0,1340254.0
nation,England,E92000001,2022-11-07,3873,20226389,2491,18887328,1382.0,1339061.0
nation,England,E92000001,2022-11-06,2911,20222516,1857,18884837,1054.0,1337679.0
nation,England,E92000001,2022-11-05,2369,20219605,1588,18882980,781.0,1336625.0
nation,England,E92000001,2022-11-04,2758,20217236,1926,18881392,832.0,1335844.0
nation,England,E92000001,2022-11-03,3254,20214478,2196,18879466,1058.0,1335012.0
nation,England,E92000001,2022-11-02,3592,20211224,2410,18877270,1182.0,1333954.0
nation,England,E92000001,2022-11-01,4083,20207632,2707,18874860,1376.0,1332772.0
nation,England,E92000001,2022-10-31,4625,20203549,3099,18872153,1526.0,1331396.0
nation,England,E92000001,2022-10-30,3821,20198924,2563,18869054,1258.0,1329870.0
nation,England,E92000001,2022-10-29,3221,20195103,2261,18866491,960.0,1328612.0
nation,England,E92000001,2022-10-28,3912,20191882,2830,18864230,1082.0,1327652.0
nation,England,E92000001,2022-10-27,4371,20187970,3129,18861400,1242.0,1326570.0
nation,England,E92000001,2022-10-26,4912,20183599,3452,18858271,1460.0,1325328.0
nation,England,E92000001,2022-10-25,5171,20178687,3649,18854819,1522.0,1323868.0
nation,England,E92000001,2022-10-24,6135,20173516,4289,18851170,1846.0,1322346.0
nation,England,E92000001,2022-10-23,5005,20167381,3593,18846881,1412.0,1320500.0
nation,England,E92000001,2022-10-22,4518,20162376,3307,18843288,1211.0,1319088.0
nation,England,E92000001,2022-10-21,5750,20157858,4153,18839981,1597.0,1317877.0
nation,England,E92000001,2022-10-20,6067,20152108,4297,18835828,1770.0,1316280.0
nation,England,E92000001,2022-10-19,7025,20146041,5025,18831531,2000.0,1314510.0
nation,England,E92000001,2022-10-18,7652,20139016,5419,18826506,2233.0,1312510.0
nation,England,E92000001,2022-10-17,9282,20131364,6590,18821087,2692.0,1310277.0
nation,England,E92000001,2022-10-16,7253,20122082,5216,18814497,2037.0,1307585.0
nation,England,E92000001,2022-10-15,6004,20114829,4433,18809281,1571.0,1305548.0
nation,England,E92000001,2022-10-14,7340,20108825,5491,18804848,1849.0,1303977.0
nation,England,E92000001,2022-10-13,7560,20101485,5481,18799357,2079.0,1302128.0
nation,England,E92000001,2022-10-12,8119,20093925,5802,18793876,2317.0,1300049.0
nation,England,E92000001,2022-10-11,8778,20085806,6424,18788074,2354.0,1297732.0
nation,England,E92000001,2022-10-10,9833,20077028,7088,18781650,2745.0,1295378.0
nation,England,E92000001,2022-10-09,8013,20067195,5883,18774562,2130.0,1292633.0
nation,England,E92000001,2022-10-08,6579,20059182,4964,18768679,1615.0,1290503.0
nation,England,E92000001,2022-10-07,8334,20052603,6213,18763715,2121.0,1288888.0
nation,England,E92000001,2022-10-06,8815,20044269,6612,18757502,2203.0,1286767.0
nation,England,E92000001,2022-10-05,9543,20035454,7034,18750890,2509.0,1284564.0
nation,England,E92000001,2022-10-04,10243,20025911,7547,18743856,2696.0,1282055.0
nation,England,E92000001,2022-10-03,10877,20015668,7965,18736309,2912.0,1279359.0
nation,England,E92000001,2022-10-02,8617,20004791,6500,18728344,2117.0,1276447.0
nation,England,E92000001,2022-10-01,6564,19996174,5036,18721844,1528.0,1274330.0
nation,England,E92000001,2022-09-30,7098,19989610,5453,18716808,1645.0,1272802.0
nation,England,E92000001,2022-09-29,7352,19982512,5560,18711355,1792.0,1271157.0
nation,England,E92000001,2022-09-28,7807,19975160,5872,18705795,1935.0,1269365.0
nation,England,E92000001,2022-09-27,7644,19967353,5639,18699923,2005.0,1267430.0
nation,England,E92000001,2022-09-26,8039,19959709,5868,18694284,2171.0,1265425.0
nation,England,E92000001,2022-09-25,6738,19951670,4961,18688416,1777.0,1263254.0
nation,England,E92000001,2022-09-24,5308,19944932,4005,18683455,1303.0,1261477.0
nation,England,E92000001,2022-09-23,6006,19939624,4525,18679450,1481.0,1260174.0
nation,England,E92000001,2022-09-22,6294,19933618,4637,18674925,1657.0,1258693.0
nation,England,E92000001,2022-09-21,6939,19927324,5085,18670288,1854.0,1257036.0
nation,England,E92000001,2022-09-20,7200,19920385,5165,18665203,2035.0,1255182.0
nation,England,E92000001,2022-09-19,5701,19913185,4021,18660038,1680.0,1253147.0
nation,England,E92000001,2022-09-18,3939,19907484,2882,18656017,1057.0,1251467.0
nation,England,E92000001,2022-09-17,3178,19903545,2378,18653135,800.0,1250410.0
nation,England,E92000001,2022-09-16,3700,19900367,2737,18650757,963.0,1249610.0
nation,England,E92000001,2022-09-15,4181,19896667,3005,18648020,1176.0,1248647.0
nation,England,E92000001,2022-09-14,4446,19892486,3233,18645015,1213.0,1247471.0
nation,England,E92000001,2022-09-13,4603,19888040,3407,18641782,1196.0,1246258.0
nation,England,E92000001,2022-09-12,4749,19883437,3385,18638375,1364.0,1245062.0
nation,England,E92000001,2022-09-11,3889,19878688,2843,18634990,1046.0,1243698.0
nation,England,E92000001,2022-09-10,2861,19874799,2119,18632147,742.0,1242652.0
nation,England,E92000001,2022-09-09,3103,19871938,2326,18630028,777.0,1241910.0
nation,England,E92000001,2022-09-08,3250,19868835,2370,18627702,880.0,1241133.0
nation,England,E92000001,2022-09-07,3750,19865585,2740,18625332,1010.0,1240253.0
nation,England,E92000001,2022-09-06,3941,19861835,2869,18622592,1072.0,1239243.0
nation,England,E92000001,2022-09-05,4385,19857894,3152,18619723,1233.0,1238171.0
nation,England,E92000001,2022-09-04,3759,19853509,2770,18616571,989.0,1236938.0
nation,England,E92000001,2022-09-03,2971,19849750,2213,18613801,758.0,1235949.0
nation,England,E92000001,2022-09-02,3239,19846779,2437,18611588,802.0,1235191.0
nation,England,E92000001,2022-09-01,3760,19843540,2733,18609151,1027.0,1234389.0
nation,England,E92000001,2022-08-31,3975,19839780,2935,18606418,1040.0,1233362.0
nation,England,E92000001,2022-08-30,4473,19835805,3162,18603483,1311.0,1232322.0
nation,England,E92000001,2022-08-29,3937,19831332,2841,18600321,1096.0,1231011.0
nation,England,E92000001,2022-08-28,2882,19827395,2192,18597480,690.0,1229915.0
nation,England,E92000001,2022-08-27,2606,19824513,1978,18595288,628.0,1229225.0
nation,England,E92000001,2022-08-26,2997,19821907,2286,18593310,711.0,1228597.0
nation,England,E92000001,2022-08-25,3266,19818910,2404,18591024,862.0,1227886.0
nation,England,E92000001,2022-08-24,3915,19815644,2908,18588620,1007.0,1227024.0
nation,England,E92000001,2022-08-23,4076,19811729,3046,18585712,1030.0,1226017.0
nation,England,E92000001,2022-08-22,4575,19807653,3379,18582666,1196.0,1224987.0
nation,England,E92000001,2022-08-21,3547,19803078,2612,18579287,935.0,1223791.0
nation,England,E92000001,2022-08-20,2844,19799531,2179,18576675,665.0,1222856.0
nation,England,E92000001,2022-08-19,3317,19796687,2487,18574496,830.0,1222191.0
nation,England,E92000001,2022-08-18,3879,19793370,2891,18572009,988.0,1221361.0
nation,England,E92000001,2022-08-17,4389,19789491,3269,18569118,1120.0,1220373.0
nation,England,E92000001,2022-08-16,4832,19785102,3609,18565849,1223.0,1219253.0
nation,England,E92000001,2022-08-15,5600,19780270,4177,18562240,1423.0,1218030.0
nation,England,E92000001,2022-08-14,4780,19774670,3621,18558063,1159.0,1216607.0
nation,England,E92000001,2022-08-13,3977,19769890,3054,18554442,923.0,1215448.0
nation,England,E92000001,2022-08-12,4779,19765913,3655,18551388,1124.0,1214525.0
nation,England,E92000001,2022-08-11,5446,19761134,4082,18547733,1364.0,1213401.0
nation,England,E92000001,2022-08-10,6001,19755688,4509,18543651,1492.0,1212037.0
nation,England,E92000001,2022-08-09,6461,19749687,4925,18539142,1536.0,1210545.0
nation,England,E92000001,2022-08-08,7226,19743226,5310,18534217,1916.0,1209009.0
nation,England,E92000001,2022-08-07,5897,19736000,4491,18528907,1406.0,1207093.0
nation,England,E92000001,2022-08-06,4852,19730103,3761,18524416,1091.0,1205687.0
nation,England,E92000001,2022-08-05,5860,19725251,4491,18520655,1369.0,1204596.0
nation,England,E92000001,2022-08-04,6524,19719391,4976,18516164,1548.0,1203227.0
nation,England,E92000001,2022-08-03,7421,19712867,5728,18511188,1693.0,1201679.0
nation,England,E92000001,2022-08-02,8166,19705446,6177,18505460,1989.0,1199986.0
nation,England,E92000001,2022-08-01,8815,19697280,6650,18499283,2165.0,1197997.0
nation,England,E92000001,2022-07-31,7672,19688465,5889,18492633,1783.0,1195832.0
nation,England,E92000001,2022-07-30,6613,19680793,5146,18486744,1467.0,1194049.0
nation,England,E92000001,2022-07-29,7584,19674180,5851,18481598,1733.0,1192582.0
nation,England,E92000001,2022-07-28,8340,19666596,6351,18475747,1989.0,1190849.0
nation,England,E92000001,2022-07-27,9435,19658256,7191,18469396,2244.0,1188860.0
nation,England,E92000001,2022-07-26,10482,19648821,8053,18462205,2429.0,1186616.0
nation,England,E92000001,2022-07-25,11929,19638339,9140,18454152,2789.0,1184187.0
nation,England,E92000001,2022-07-24,10216,19626410,7841,18445012,2375.0,1181398.0
nation,England,E92000001,2022-07-23,8908,19616194,6976,18437171,1932.0,1179023.0
nation,England,E92000001,2022-07-22,11176,19607286,8656,18430195,2520.0,1177091.0
nation,England,E92000001,2022-07-21,12791,19596110,9872,18421539,2919.0,1174571.0
nation,England,E92000001,2022-07-20,14534,19583319,11291,18411667,3243.0,1171652.0
nation,England,E92000001,2022-07-19,14866,19568785,11348,18400376,3518.0,1168409.0
nation,England,E92000001,2022-07-18,16918,19553919,12796,18389028,4122.0,1164891.0
nation,England,E92000001,2022-07-17,15704,19537001,12072,18376232,3632.0,1160769.0
nation,England,E92000001,2022-07-16,13671,19521297,10675,18364160,2996.0,1157137.0
nation,England,E92000001,2022-07-15,16626,19507626,12842,18353485,3784.0,1154141.0
nation,England,E92000001,2022-07-14,19340,19491000,14752,18340643,4588.0,1150357.0
nation,England,E92000001,2022-07-13,21639,19471660,16643,18325891,4996.0,1145769.0
nation,England,E92000001,2022-07-12,24377,19450021,18606,18309248,5771.0,1140773.0
nation,England,E92000001,2022-07-11,27201,19425644,20622,18290642,6579.0,1135002.0
nation,England,E92000001,2022-07-10,23046,19398443,17808,18270020,5238.0,1128423.0
nation,England,E92000001,2022-07-09,19354,19375397,15269,18252212,4085.0,1123185.0
