unit,geo\time,2022Q2 ,2022Q1 ,2021Q4 ,2021Q3 ,2021Q2 ,2021Q1 ,2020Q4 ,2020Q3 ,2020Q2 ,2020Q1 ,2019Q4 ,2019Q3 ,2019Q2 ,2019Q1 ,2018Q4 ,2018Q3 ,2018Q2 ,2018Q1 ,2017Q4 ,2017Q3 ,2017Q2 ,2017Q1 ,2016Q4 ,2016Q3 ,2016Q2 ,2016Q1 ,2015Q4 ,2015Q3 ,2015Q2 ,2015Q1 ,2014Q4 ,2014Q3 ,2014Q2 ,2014Q1 ,2013Q4 ,2013Q3 ,2013Q2 ,2013Q1 ,2012Q4 ,2012Q3 ,2012Q2 ,2012Q1 ,2011Q4 ,2011Q3 ,2011Q2 ,2011Q1 ,2010Q4 ,2010Q3 ,2010Q2 ,2010Q1 ,2009Q4 ,2009Q3 ,2009Q2 ,2009Q1 ,2008Q4 ,2008Q3 ,2008Q2 ,2008Q1 ,2007Q4 ,2007Q3 ,2007Q2 ,2007Q1 ,2006Q4 ,2006Q3 ,2006Q2 ,2006Q1 ,2005Q4 ,2005Q3 ,2005Q2 ,2005Q1 ,2004Q4 ,2004Q3 ,2004Q2 ,2004Q1
MIO_PKM,AT,: ,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,2686 ,2635 ,2433 ,2336 ,2638 ,2552 ,2592 ,2378 ,2236 ,2233 ,2246 ,2212 ,2138 ,2104 ,2193 ,2216 ,2014 ,2149 ,2122 ,2185 ,1962 ,2095 ,2144 ,2094
MIO_PKM,BA,10 ,5 ,5 ,7 ,4 ,3 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,:
MIO_PKM,BE,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,2700 ,2500 ,2700 ,2400 ,2710 ,2506 ,2733 ,2486 ,2743 ,2537 ,2767 ,2517 ,2726 ,2452 ,2682 ,2592 ,2731 ,2481 ,2647 ,2542 ,2633 ,2376 ,2543 ,2377 ,2484 ,2309 ,2467 ,2367 ,2381 ,2235 ,2308 ,2193 ,2271 ,2142 ,2163 ,2094
MIO_PKM,BG,405 ,273 ,282 ,389 ,297 ,235 ,261 ,352 ,219 ,295 ,357 ,446 ,388 ,328 ,352 ,434 ,378 ,312 ,343 ,410 ,374 ,308 ,343 ,408 ,376 ,328 ,365 ,429 ,411 ,344 ,397 ,465 ,444 ,392 ,433 ,507 ,478 ,403 ,447 ,517 ,492 ,414 ,445 ,599 ,553 ,462 ,514 ,578 ,537 ,472 ,514 ,586 ,550 ,494 ,549 ,642 ,594 ,550 ,582 ,680 ,609 ,552 ,596 ,674 ,622 ,530 ,: ,: ,: ,: ,: ,: ,: ,:
MIO_PKM,CH,4634 ,3644 ,4029 ,3798 ,3017 ,2482 ,2867 ,3565 ,1860 ,4398 ,5213 ,5187 ,5044 ,4869 ,4992 ,4836 ,4835 ,4610 ,5033 ,4877 ,4864 ,4808 ,5033 ,4918 ,4899 ,4738 ,4914 ,4837 ,4754 ,4591 ,4821 ,4814 ,4651 ,4532 ,4691 ,4618 ,4579 ,4398 ,4701 ,4558 ,4422 ,4559 ,4786 ,4849 ,4706 ,4589 ,4652 ,4551 ,4407 ,4297 ,4318 ,4385 ,4244 ,4230 ,4278 ,4231 ,4169 ,3952 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,:
MIO_PKM,CZ,: ,1878 ,2052 ,2381 ,1488 ,969 ,1144 ,2149 ,1137 ,2054 ,2787 ,2994 ,2906 ,2378 ,2687 ,2717 ,2667 ,2221 ,2434 ,2577 ,2439 ,2065 ,2227 ,2364 ,2236 ,2007 ,2144 ,2158 ,2164 ,1832 ,2027 ,2020 ,2008 ,1742 ,2000 ,1920 ,1942 ,1739 ,1909 ,1829 ,1882 ,1645 ,1739 ,1709 ,1743 ,1523 ,1704 ,1640 ,1742 ,1505 ,1617 ,1639 ,1698 ,1548 ,1811 ,1701 ,1734 ,1557 ,1734 ,1727 ,1782 ,1656 ,1785 ,1639 ,1806 ,1692 ,1725 ,1663 ,1697 ,1582 ,1681 ,1628 ,1664 ,1617
MIO_PKM,DE,25060 ,15583 ,18448 ,18188 ,11597 ,8464 ,11900 ,16433 ,8256 ,20074 ,25899 ,25631 ,24858 ,23339 ,24710 ,25504 ,24487 ,23062 ,24433 ,24545 ,24147 ,22698 ,24324 ,23862 ,23472 ,22015 ,23372 ,23487 ,21675 ,21123 ,22533 ,23828 ,22199 ,21157 ,22770 ,22793 ,21841 ,20988 ,22784 ,22807 ,21735 ,20964 ,22082 ,21948 ,20993 ,19851 ,21365 ,21268 ,20533 ,19596 ,20651 ,20869 ,19919 ,19398 ,21101 ,21480 ,20198 ,18983 ,19763 ,20594 ,19821 ,18642 ,19898 ,20348 ,19500 ,18057 ,19532 ,19808 ,18313 ,17294 ,18792 ,18733 ,17877 ,17161
MIO_PKM,DK,1540 ,1175 ,1343 ,1298 ,962 ,587 ,923 ,1126 ,636 ,1255 ,1620 ,1534 ,1512 ,1507 ,1601 ,1506 ,1584 ,1490 ,1613 ,1529 ,1595 ,1543 ,1624 ,1562 ,1596 ,1546 ,1704 ,1607 ,1616 ,1580 ,1705 ,1591 ,1655 ,1562 ,1713 ,1589 ,1667 ,1604 ,1724 ,1583 ,1636 ,1573 ,1624 ,1649 ,1585 ,1544 ,1626 ,1575 ,1520 ,1438 ,1555 ,1532 ,1505 ,1388 ,1595 ,1546 ,1521 ,1433 ,1570 ,1499 ,1501 ,1398 ,1507 ,1494 ,1507 ,1395 ,1488 ,1463 ,1467 ,1342 ,1476 ,1480 ,1434 ,1355
MIO_PKM,EE,104 ,75 ,79 ,88 ,73 ,50 ,65 ,80 ,42 ,77 ,102 ,94 ,103 ,93 ,103 ,107 ,109 ,98 ,99 ,91 ,91 ,85 ,82 ,82 ,78 ,73 ,67 ,83 ,75 ,67 ,71 ,81 ,70 ,60 ,60 ,58 ,55 ,49 ,58 ,61 ,61 ,55 ,61 ,62 ,62 ,57 ,61 ,64 ,64 ,58 ,63 ,65 ,63 ,59 ,66 ,74 ,71 ,63 ,68 ,74 ,71 ,61 ,66 ,70 ,65 ,55 ,65 ,70 ,59 ,53 ,48 ,51 ,51 ,43
MIO_PKM,EL,281 ,197 ,231 ,212 ,135 ,74 ,97 ,199 ,86 ,258 ,347 ,342 ,300 ,265 ,314 ,288 ,263 ,239 ,272 ,293 ,276 ,272 ,301 ,280 ,295 ,316 ,300 ,336 ,330 ,297 ,267 ,273 ,266 ,266 ,274 ,273 ,262 ,247 ,208 ,208 ,208 ,208 ,208 ,222 ,279 ,292 ,367 ,354 ,345 ,317 ,342 ,361 ,392 ,372 ,388 ,425 ,437 ,407 ,484 ,536 ,470 ,443 ,448 ,544 ,426 ,408 ,467 ,514 ,448 ,425 ,463 ,462 ,404 ,369
